"Name","State","Tags","Runtime","Created","lm","pattern","avg_consistency_by_edge_out","avg_entropy","both_consistency","both_edges","consistency","consistent_subjects","group-unacc","knowledgable_consistency","lama_acc","lama_group_acc","lexical_consistency","lexical_edges","n_patterns","no_change_consistency","std_entropy","successful_patterns","successful_subjects","syntactic_consistency","syntactic_edges","total","total_both","total_lex","total_no","total_syn","unknowledgable_consistency"
"P39_consistency_probe_roberta-base","finished","P39, probe","157","2022-01-11T13:40:02.000Z","roberta-base","P39","0.4159698611832825","0.6148960997122853","0.5684210526315789","8","0.39803508771929824","0.07157894736842105","0.07010309278350516","0.3046831955922865","0.088659793814433","0","0.48947368421052634","4","6","-1","0.39302589716155983","1","0.25473684210526315","-1","0","14250","3800","1900","0","0","0.4299435028248588"
"P37_consistency_probe_roberta-base","finished","P37, probe","394","2022-01-11T13:33:20.000Z","roberta-base","P37","0.733327534764062","0.39239925627654865","0.7169702780441035","14","0.7318419090231171","0.43355704697986575","0.15444444444444444","0.7653810835629018","0.4777777777777778","0.2966666666666667","0.8040268456375839","6","9","-1","0.40414853744309215","1","0.6496644295302013","0.7926174496644295","4","53640","10430","4470","0","2980","0.6696466581524053"
"P36_consistency_probe_roberta-base","finished","P36, probe","378","2022-01-11T13:26:53.000Z","roberta-base","P36","0.5392938888206655","0.5629401440475678","0.7250848503548287","28","0.5049960838297771","0.07991360691144708","0.01910828025477707","0.5986064408777343","0.6029723991507431","0.06794055201698514","0.7506942301758717","14","14","-1","0.3367245504411343","1","0.6846652267818575","0.712742980561555","4","84266","12964","6482","0","1852","0.301746199006473"
"P364_consistency_probe_roberta-base","finished","P364, probe","220","2022-01-11T13:23:01.000Z","roberta-base","P364","0.6475520609442103","0.48884725155678793","0.5544488711819389","8","0.6367419212040726","0.2961487383798141","0.09788359788359788","0.6653566229985444","0.46825396825396826","0.1970899470899471","0.6367861885790173","8","6","0.7184594953519257","0.411368085909556","1","0.6082337317397079","0.6577025232403718","8","22590","6024","6024","4518","6024","0.5923163841807909"
"P361_consistency_probe_roberta-base","finished","P361, probe","91","2022-01-11T13:21:24.000Z","roberta-base","P361","0.6966292134831461","0","-1","0","0.6966292134831461","0.6966292134831461","0.4772117962466488","0.730593607305936","0.2613941018766756","0.22117962466487937","-1","0","2","-1","0","1","0.30758426966292135","-1","0","1424","0","0","0","0","0.6815415821501014"
"P31_consistency_probe_roberta-base","failed","P31, probe","18","2022-01-11T13:21:01.000Z","roberta-base","P31","","","","","","","","","","","","","","","","","","","","","","","","",""
"P30_consistency_probe_roberta-base","finished","P30, probe","178","2022-01-11T13:17:56.000Z","roberta-base","P30","0.6019931213463058","0.464905257679624","0.3782654127481714","2","0.5971786833855799","0.3573667711598746","0.005213764337851929","0.6098696461824954","0.8039624608967675","0.35140771637122004","-1","0","4","-1","0.4591118194286333","1","0.93521421107628","-1","0","11484","1914","0","0","0","0.41397849462365593"
"P27_consistency_probe_roberta-base","finished","P27, probe","416","2022-01-11T13:10:51.000Z","roberta-base","P27","0.7098160021234416","0.4245916951743859","0.7458647823992292","52","0.7025342147993505","0.3559498956158664","0.151356993736952","0.7284301346801347","0.29018789144050106","0.2045929018789144","0.8789144050104384","4","9","-1","0.3943079611237299","1","0.5511482254697286","-1","0","68976","49816","3832","0","0","0.6707364341085271"
"P279_consistency_probe_roberta-base","finished","P279, probe","194","2022-01-11T13:07:30.000Z","roberta-base","P279","0.7082235144368684","0.30626904487674783","0.6848552338530067","4","0.7002598366740905","0.5111358574610245","0.09111111111111111","0.8040734366035571","0.4688888888888889","0.42","0.6035634743875279","2","4","-1","0.432949027208111","1","0.6469933184855234","-1","0","10776","3592","1796","0","0","0.5099894847528917"
"P276_consistency_probe_roberta-base","finished","P276, probe","90","2022-01-11T13:05:55.000Z","roberta-base","P276","0.4616457461645746","0","0.4616457461645746","2","0.4616457461645746","0.4616457461645746","0.21858638743455497","0.5533980582524272","0.3782722513089005","0.2238219895287958","-1","0","2","-1","0","1","0.4309623430962343","-1","0","1434","1434","0","0","0","0.392156862745098"
"P264_consistency_probe_roberta-base","finished","P264, probe","132","2022-01-11T13:03:37.000Z","roberta-base","P264","0.3167952679888224","0.6959486832715325","0.2748868778280543","136","0.2802601809954751","0","0","0.27976190476190477","0.09433962264150944","0","0.4615384615384616","20","17","-1","0.32172925100627364","1","0.40384615384615385","-1","0","14144","7072","1040","0","0","0.2805977229601518"
"P20_consistency_probe_roberta-base","finished","P20, probe","366","2022-01-11T12:57:22.000Z","roberta-base","P20","0.31551098416708173","0.48463423869508704","0.30905752753977966","12","0.30940723902780204","0.08567931456548347","0.02447980416156671","0.412848158131177","0.2607099143206854","0.06119951040391677","0.346062831497348","30","8","-1","0.4067864062458193","1","0.38922888616891066","-1","0","45752","9804","24510","0","0","0.2434869739478958"
"P19_consistency_probe_roberta-base","finished","P19, probe","489","2022-01-11T12:48:54.000Z","roberta-base","P19","0.3559634103074989","0.7189544036874019","0.4121469833119384","36","0.34748252745685354","0.010269576379974324","0","0.40244200244200246","0.15532734274711169","0.0025673940949935813","0.387997432605905","8","13","0.7946084724005135","0.31756165639512446","1","0.2336328626444159","-1","0","70110","24928","6232","6232","0","0.33072771263726036"
"P190_consistency_probe_roberta-base","finished","P190, probe","154","2022-01-11T12:46:15.000Z","roberta-base","P190","0.5128294147180412","0.45821846780249315","-1","0","0.5114709851551957","0.27530364372469635","0.2608047690014903","0.3431372549019608","0.028315946348733235","0.010432190760059612","-1","0","4","-1","0.4591469762881992","1","0.06882591093117409","0.4554655870445344","4","2964","0","0","0","988","0.5239130434782608"
"P17_consistency_probe_roberta-base","finished","P17, probe","148","2022-01-11T12:43:42.000Z","roberta-base","P17","0.7730332620776331","0.1836809366995975","0.7453347969264544","2","0.7724112696670326","0.6805708013172338","0.2883771929824561","0.8549107142857143","0.43201754385964913","0.3925438596491228","-1","0","3","-1","0.3872237727629283","1","0.49176728869374314","-1","0","5466","1822","0","0","0","0.6925845932325414"
"P178_consistency_probe_roberta-base","finished","P178, probe","414","2022-01-11T12:36:43.000Z","roberta-base","P178","0.6517376155840798","0.5029714033529376","0.7599420237340339","38","0.6366179001721171","0.18588640275387264","0.0017006802721088437","0.6844004065040651","0.6377551020408163","0.18197278911564627","0.7490916045132913","18","16","0.8640275387263339","0.3560115745691834","1","0.846815834767642","-1","0","139440","22078","10458","3486","0","0.3724719101123595"
"P176_consistency_probe_roberta-base","finished","P176, probe","521","2022-01-11T12:27:57.000Z","roberta-base","P176","0.7068244705628619","0.36290627988855745","0.7490622069396686","28","0.7028380080896492","0.3949671772428884","0.002162162162162162","0.7310916906462042","0.7686486486486487","0.3956756756756757","0.6928727727414817","14","12","-1","0.37686331902211995","1","0.9332603938730852","-1","0","120648","25592","12796","0","0","0.30774962742175854"
"P159_consistency_probe_roberta-base","finished","P159, probe","449","2022-01-11T12:20:23.000Z","roberta-base","P159","0.49336688154392033","0.5353673828545472","0.46086454221623185","26","0.4690585454039772","0.09762202753441802","0.02247191011235955","0.5641238253178552","0.3757802746566791","0.0749063670411985","0.5640383813099707","6","10","-1","0.3745989590663444","1","0.5031289111389237","-1","0","71910","20774","4794","0","0","0.37279596977329976"
"P1412_consistency_probe_roberta-base","finished","P1412, probe","351","2022-01-11T12:14:25.000Z","roberta-base","P1412","0.569944889272283","0.5749755052492516","0.5395449620801733","12","0.5572279832843213","0.19826652221018415","0.022727272727272728","0.5735182370820668","0.538961038961039","0.17532467532467533","0.8163596966413867","4","8","-1","0.3956774710101253","1","0.8147345612134345","0.4626218851570964","2","51688","11076","3692","0","1846","0.4855889724310777"
"P140_consistency_probe_roberta-base","finished","P140, probe","111","2022-01-11T12:12:27.000Z","roberta-base","P140","0.2978976625374639","0.7113029206405675","0.7365339578454333","4","0.2939110070257611","0","0","0.3032015065913371","0.1388888888888889","0","-1","0","4","-1","0.3837116936753723","1","0.8290398126463701","-1","0","5124","1708","0","0","0","0.2488584474885845"
"P138_consistency_probe_roberta-base","finished","P138, probe","529","2022-01-11T12:03:30.000Z","roberta-base","P138","0.5659496322785866","0.5993169532066318","0.4418129539951574","118","0.5363251879699248","0.08482142857142858","0.006507592190889371","0.5832646834477498","0.6420824295010846","0.07592190889370933","0.6245866402116402","54","20","0.791015625","0.3387569783088284","1","0.7700892857142857","-1","0","170240","52864","24192","7168","0","0.3791006642820644"
"P1376_consistency_probe_roberta-base","finished","P1376, probe","141","2022-01-11T12:01:03.000Z","roberta-base","P1376","0.7664265437694985","0.3401929465679573","0.8008163265306123","28","0.7657142857142857","0.5314285714285715","0.0782122905027933","0.790585301223599","0.5977653631284916","0.4636871508379888","0.876734693877551","14","14","-1","0.411644966464895","1","0.8057142857142857","0.7257142857142858","4","31850","4900","2450","0","700","0.6625727213962508"
"P136_consistency_probe_roberta-base","finished","P136, probe","259","2022-01-11T11:56:39.000Z","roberta-base","P136","0.4828511092751601","0.774617539626351","0.44195804195804195","30","0.44195804195804195","0.03146853146853147","0.004656577415599534","0.46139705882352944","0.5739231664726426","0.02677532013969732","-1","0","6","-1","0.2958849978218338","1","0.634032634032634","-1","0","25740","25740","0","0","0","0.4082802547770701"
"P131_consistency_probe_roberta-base","finished","P131, probe","125","2022-01-11T11:54:29.000Z","roberta-base","P131","0.44791410280315735","0.3096774193548387","0.4774193548387097","4","0.4464516129032258","0.29161290322580646","0.16774193548387098","0.4854586129753915","0.24258064516129033","0.12387096774193548","0.38451612903225807","2","3","-1","0.4623605901204882","1","0.38451612903225807","-1","0","4650","3100","1550","0","0","0.4220824598183089"
"P1303_consistency_probe_roberta-base","finished","P1303, probe","110","2022-01-11T11:52:34.000Z","roberta-base","P1303","0.3404919325941923","0.6860050239608242","0.34911242603550297","2","0.3323471400394477","0.01380670611439842","0.009746588693957114","0.3052749719416386","0.3079922027290448","0.005847953216374269","-1","0","4","-1","0.39919000832208223","1","0.5857988165680473","-1","0","6084","1014","0","0","0","0.37063492063492065"
"P127_consistency_probe_roberta-base","finished","P127, probe","158","2022-01-11T11:49:51.000Z","roberta-base","P127","0.3263177518206856","0.34585167776078174","0.28084415584415584","6","0.3227813852813853","0.1477272727272727","0.027597402597402596","0.4102196752626552","0.2824675324675325","0.12012987012987011","-1","0","4","-1","0.44495030270641905","1","0.5665584415584416","-1","0","7392","3696","0","0","0","0.20848938826466917"
"P108_consistency_probe_roberta-base","finished","P108, probe","86","2022-01-11T11:48:20.000Z","roberta-base","P108","0.3689899469074042","0.5085186607936151","0.25268817204301075","10","0.33512544802867383","0.08602150537634409","0.05555555555555555","0.375","0.17989417989417988","0.03439153439153439","0.7473118279569892","2","4","-1","0.45648585889424115","1","0.26881720430107525","-1","0","4464","3720","744","0","0","0.32046568627450983"
"P106_consistency_probe_roberta-base","finished","P106, probe","456","2022-01-11T11:40:38.000Z","roberta-base","P106","0.2279255777971412","0.5396303847811724","0.2976857490864799","14","0.203671480772577","0","0","0.21597300337457817","0.030450669914738125","0","0.29598051157125455","6","11","-1","0.3775794474885259","1","0.15468940316686966","-1","0","45976","8210","3284","0","0","0.20142033758748457"
"P103_consistency_probe_roberta-base","finished","P103, probe","182","2022-01-11T11:37:31.000Z","roberta-base","P103","0.8179597107063322","0.2020650963823604","-1","0","0.8179012345679012","0.7124183006535948","0.1088139281828074","0.8546296296296296","0.749727965179543","0.602829162132753","0.8828976034858388","4","4","-1","0.38042769751915784","1","0.7843137254901961","-1","0","11016","0","3672","0","0","0.6843434343434344"
"P101_consistency_probe_roberta-base","finished","P101, probe","359","2022-01-11T11:31:24.000Z","roberta-base","P101","0.3086312200138843","0.5914945673926623","0.2032253655869892","54","0.24295108335698745","0","0","0.2636897001303781","0.09807355516637478","0","0.3249282492824928","18","13","-1","0.3995780110002772","1","0.2177121771217712","0.6226937269372693","4","84552","29268","9756","0","2168","0.23717948717948717"
"P1001_consistency_probe_roberta-base","failed","P1001, probe","60","2022-01-11T11:30:17.000Z","roberta-base","P1001","","","","","","","0.2545180722891566","","0.7454819277108434","0.7454819277108434","","","","","","","","","","","","","","",""
