"Name","State","Tags","Runtime","Created","lm","pattern","avg_consistency_by_edge_out","avg_entropy","both_consistency","both_edges","consistency","consistent_subjects","group-unacc","knowledgable_consistency","lama_acc","lama_group_acc","lexical_consistency","lexical_edges","n_patterns","no_change_consistency","std_entropy","successful_patterns","successful_subjects","syntactic_consistency","syntactic_edges","total","total_both","total_lex","total_no","total_syn","unknowledgable_consistency"
"P279_consistency_probe_bert-base-uncased","finished","P279, probe","189","2021-12-05T17:08:55.000Z","bert-base-uncased","P279","0.7229589044765383","0.25667288902859337","0.7249443207126949","4","0.7201187824795843","0.5690423162583519","0.09555555555555556","0.8157202944269191","0.5822222222222222","0.4777777777777778","0.6648106904231625","2","4","-1","0.4120930389455796","1","0.7060133630289532","-1","0","10776","3592","1796","0","0","0.49053030303030304"
"P276_consistency_probe_bert-base-uncased","finished","P276, probe","87","2021-12-05T17:07:22.000Z","bert-base-uncased","P276","0.9372384937238494","0","0.9372384937238494","2","0.9372384937238494","0.9372384937238494","0.5117801047120419","0.3333333333333333","0.0013089005235602095","0.0013089005235602095","-1","0","2","-1","0","1","0.0041841004184100415","-1","0","1434","1434","0","0","0","0.9397759103641457"
"P20_consistency_probe_bert-base-cased","finished","P20, probe","382","2021-12-05T17:06:20.000Z","bert-base-cased","P20","0.3031135255979819","0.5307129742755097","0.15095879232966136","12","0.28313516349012063","0.028151774785801713","0.0073439412484700125","0.32450166112956813","0.3708690330477356","0.0208078335373317","0.3288453692370461","30","8","-1","0.3944990240128384","1","0.5263157894736842","-1","0","45752","9804","24510","0","0","0.23717238833517904"
"P264_consistency_probe_bert-base-uncased","finished","P264, probe","127","2021-12-05T17:05:10.000Z","bert-base-uncased","P264","1","0","1","136","1","1","0","0","0","0","1","20","17","-1","0","0","0","-1","0","14144","7072","1040","0","0","1"
"P20_consistency_probe_bert-base-uncased","finished","P20, probe","355","2021-12-05T16:59:10.000Z","bert-base-uncased","P20","1","0","1","12","1","1","0.0416156670746634","0","0","0","1","30","8","-1","0","0","0","-1","0","45752","9804","24510","0","0","1"
"P19_consistency_probe_bert-base-cased","finished","P19, probe","512","2021-12-05T16:57:43.000Z","bert-base-cased","P19","0.38574453487227256","0.6757103103098107","0.4340500641848524","36","0.390044216231636","0.006418485237483954","0","0.45610200364298725","0.251604621309371","0.0012836970474967909","0.4184852374839538","8","13","0.7015404364569962","0.327303213430531","1","0.31322207958921694","-1","0","70110","24928","6232","6232","0","0.35991692627206645"
"P190_consistency_probe_bert-base-cased","finished","P190, probe","165","2021-12-05T16:54:53.000Z","bert-base-cased","P190","0.7226670198140931","0.3271661271125306","-1","0","0.7219973009446694","0.5425101214574899","0.5007451564828614","0.7395833333333334","0.040238450074515646","0.02533532041728763","-1","0","4","-1","0.4397699590028472","1","0.06477732793522267","0.7550607287449392","4","2964","0","0","0","988","0.7207792207792207"
"P17_consistency_probe_bert-base-cased","finished","P17, probe","154","2021-12-05T16:52:14.000Z","bert-base-cased","P17","0.8267000299813064","0.13172338090010977","0.8024149286498353","2","0.8265642151481888","0.7607025246981339","0.26535087719298245","0.888268156424581","0.5482456140350878","0.4956140350877193","-1","0","3","-1","0.3381897866943269","1","0.5894621295279913","-1","0","5466","1822","0","0","0","0.7379679144385026"
"P19_consistency_probe_bert-base-uncased","finished","P19, probe","488","2021-12-05T16:50:57.000Z","bert-base-uncased","P19","1","0","1","36","1","1","0.010269576379974324","0","0","0","1","8","13","1","0","0","0","-1","0","70110","24928","6232","6232","0","1"
"P190_consistency_probe_bert-base-uncased","finished","P190, probe","152","2021-12-05T16:48:19.000Z","bert-base-uncased","P190","1","0","-1","0","1","1","0.44709388971684055","0","0","0","-1","0","4","-1","0","0","0","1","4","2964","0","0","0","988","1"
"P17_consistency_probe_bert-base-uncased","finished","P17, probe","143","2021-12-05T16:45:51.000Z","bert-base-uncased","P17","1","0","1","2","1","1","0.6973684210526315","0","0","0","-1","0","3","-1","0","0","0","-1","0","5466","1822","0","0","0","1"
"P178_consistency_probe_bert-base-cased","finished","P178, probe","457","2021-12-05T16:44:32.000Z","bert-base-cased","P178","0.6168020430129092","0.5329327740540863","0.7530573421505571","38","0.6129948364888124","0.2633390705679862","0.011904761904761904","0.6607653791130186","0.6377551020408163","0.25","0.7030024861350163","18","16","0.8588640275387264","0.40205069933189513","1","0.802065404475043","-1","0","139440","22078","10458","3486","0","0.41942028985507246"
"P178_consistency_probe_bert-base-uncased","finished","P178, probe","420","2021-12-05T16:38:46.000Z","bert-base-uncased","P178","1","0","1","38","1","1","0.30612244897959184","0","0","0","1","18","16","1","0","0","0","-1","0","139440","22078","10458","3486","0","1"
"P176_consistency_probe_bert-base-cased","finished","P176, probe","549","2021-12-05T16:35:19.000Z","bert-base-cased","P176","0.8193399954582502","0.19608104161055517","0.8119724914035636","28","0.8182647039321","0.649890590809628","0.002162162162162162","0.8567155196828095","0.8702702702702703","0.6475675675675676","0.8261956861519225","14","12","-1","0.32315745892259223","1","0.936542669584245","-1","0","120648","25592","12796","0","0","0.2507836990595611"
"P176_consistency_probe_bert-base-uncased","finished","P176, probe","518","2021-12-05T16:30:04.000Z","bert-base-uncased","P176","0.6477487721335735","0.7384535527177662","0.491325414191935","28","0.6242457396724355","0.044857768052516414","0.6227027027027027","0.6439393939393939","0.001081081081081081","0","0.8336980306345733","14","12","-1","0.2449790591774388","1","0.002188183807439825","-1","0","120648","25592","12796","0","0","0.6242025518341308"
